"","Population","HDI","Grazing.Footprint","Carbon.Footprint","Cropland","Forest.Land","Urban.Land","BiocapacityT","GDP"
"166",8.01,0.62,0.14,0.13,0.29,0.01,0.08,0.53,836.17
"167",47.78,0.51,0.34,0.17,0.46,0.17,0.06,1.08,765.33
"168",66.78,0.72,0.02,1.54,0.77,0.2,0.07,1.24,5479.29
"169",1.11,0.6,0.07,0.06,0.21,0.52,0.04,1.78,5167.86
"170",6.64,0.47,0.1,0.31,0.34,0.03,0.02,0.53,580.86
"171",0.1,0.72,0.32,0.88,0.83,0.11,0,1.48,4330.9
"172",1.34,0.77,0.19,6.89,0.04,0.15,0,1.56,18310.8
"173",10.88,0.72,0.09,1.11,0.53,0.05,0.04,0.93,4305.07
"174",74,0.76,0.12,1.92,0.75,0.6,0.04,1.52,10437.7
"175",5.17,0.68,0.44,4.13,0.6,0.02,0.09,2.79,5290.14
"176",36.35,0.48,0.15,0.08,0.35,0.01,0.04,0.59,601.35
"177",45.53,0.74,0.01,1.92,1.5,0.43,0.07,2.27,3589.63
"178",63.03,0.9,0.28,3.14,0.6,0.12,0.18,1.32,40980.5
"179",9.206,0.83,0.19,6.37,0.02,0.07,0,0.56,40817.4
"180",317.5,0.91,0.3,5.9,1.49,1.57,0.09,3.76,49725
"181",3.4,0.79,0.98,0.98,1.89,1.22,0.17,10.32,14238.1
"182",28.54,0.67,0.13,1.41,0.56,0.06,0.08,0.92,1560.85
"183",29.96,0.763846,0.74,2.13,0.14,1.79,0.04,2.78,10237.8
"184",90.8,0.66,0.01,0.79,0.55,0.17,0.1,1,1532.31
"186",23.85,0.5,0.14,0.42,0.09,0.04,0.04,0.5,1302.3
"187",14.08,0.58,0.18,0.24,0.24,0.99,0.04,2.23,1740.64
"188",13.72,0.49,0.32,0.53,0.15,0.12,0.02,0.62,865.91
